Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition
300869,Minor injury,2016,November,Saturday,11,Rear-end,Multi-Vehicle,152.975522,-27.511284,Oxley Rd,,Chelmer,Brisbane City,4068,Sherwood,South Brisbane,Brisbane,SEQ South,Metropolitan,Chelmer - Graceville,Sherwood - Indooroopilly,Brisbane - West,Major cities,Indooroopilly,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300870,Minor injury,2016,November,Saturday,19,Angle,Multi-Vehicle,153.030809,-27.385929,Gympie Arterial Rd,Hamilton Rd,Chermside,Brisbane City,4032,Boondall,North Brisbane,Brisbane,SEQ North,Metropolitan,Chermside,Chermside,Brisbane - North,Major cities,Stafford,Lilley,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Clear,Darkness - Lighted
300875,Hospitalisation,2016,November,Saturday,5,Hit object,Single Vehicle,153.185097,-27.518526,Cleveland Sub-Arterial Rd,,Chandler,Brisbane City,4157,Capalaba,South Brisbane,Brisbane,SEQ South,Metropolitan,Belmont - Gumdale,Capalaba,Brisbane - East,Major cities,Chatsworth,Bonner,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Dawn/Dusk
300901,Medical treatment,2016,November,Sunday,5,Hit object,Single Vehicle,152.990622,-27.442975,Western Arterial Rd,,Ashgrove,Brisbane City,4060,The Gap,North Brisbane,Brisbane,SEQ North,Metropolitan,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Major cities,Ashgrove,Brisbane,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300902,Hospitalisation,2016,November,Sunday,7,Angle,Multi-Vehicle,153.063369,-27.471901,Wynnum Rd,,Norman Park,Brisbane City,4170,Morningside,South Brisbane,Brisbane,SEQ South,Metropolitan,Hawthorne,Brisbane Inner - East,Brisbane Inner City,Major cities,Bulimba,Griffith,Locally-controlled,Intersection - T-Junction,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300903,Hospitalisation,2016,November,Sunday,10,Angle,Multi-Vehicle,153.032823,-27.482235,Leopard St,Lockerbie St,Kangaroo Point,Brisbane City,4169,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
300932,Hospitalisation,2016,November,Sunday,15,Hit object,Single Vehicle,152.920287,-27.601217,Cunningham Arterial Rd,,Wacol,Brisbane City,4076,Mount Ommaney,South Brisbane,Brisbane,SEQ South,Metropolitan,Wacol,Forest Lake - Oxley,Ipswich,Major cities,Inala,Oxley,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight
300933,Hospitalisation,2016,November,Monday,16,Hit object,Single Vehicle,152.9813032,-27.45544768,Cecil Rd,,Bardon,Brisbane City,4065,The Gap,North Brisbane,Brisbane,SEQ North,Metropolitan,Bardon,Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Brisbane,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight
300934,Hospitalisation,2016,November,Monday,7,Angle,Multi-Vehicle,153.039711,-27.504215,Juliette St,South East Busway,Greenslopes,Brisbane City,4120,Coorparoo,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenslopes,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
300935,Minor injury,2016,November,Monday,11,Rear-end,Multi-Vehicle,152.993207,-27.486004,Benson St,High St,Toowong,Brisbane City,4066,Indooroopilly,North Brisbane,Brisbane,SEQ North,Metropolitan,Toowong,Brisbane Inner - West,Brisbane Inner City,Major cities,Mount Coot-tha,Ryan,Locally-controlled,Intersection - T-Junction,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight
300936,Minor injury,2016,November,Monday,18,Hit pedestrian,Hit pedestrian,153.0427828,-27.33061754,Callum Pl,,Bracken Ridge,Brisbane City,4017,Sandgate,North Brisbane,Brisbane,SEQ North,Metropolitan,Bracken Ridge,Sandgate,Brisbane - North,Major cities,Sandgate,Petrie,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk
300937,Medical treatment,2016,November,Monday,13,Rear-end,Multi-Vehicle,153.027861,-27.48906,Annerley Rd,Gloucester St,Woolloongabba,Brisbane City,4102,Dutton Park,South Brisbane,Brisbane,SEQ South,Metropolitan,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Major cities,South Brisbane,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight
